"name","class","rating","status","constituency","connection","officer","proposal","priority","zip","af12","af13","af14","af15","af16","cap12","cap13","cap14","cap15","cap16","city","state","latitude","longitude"
"el-Mirza, Saalima",1994,2180000,"Assessment","Alumn","Somewhat Connected","al-Abdou, Tharwa",NA,"","11957",865,564,368,768,498,0,0,50000,0,0,"Orient","NY",41.151826,-72.27511
"Montgomery, Akyta",1991,930000,"Cultivation","Alumn","Modestly Connected",NA,0,"Residence Hall","48030",0,1090,1189,940,157,50000,0,0,0,0,"Hazel Park","MI",42.459022,-83.09819
"Nguyen, Jesse",2012,0,"Not a Prospect","Alumn","Modestly Connected",NA,NA,"","65255",0,0,492,0,644,130000,20000,70000,0,70000,"Hallsville","MO",39.104503,-92.23452
"Yoshida, Michelle",1962,2980000,"Assessment","Alumn","Very Connected","Ortega, Yesica",NA,"","88410",0,0,1188,801,0,0,0,0,40000,0,"Amistad","NM",35.890633,-103.20194
"Smith, Mitchell",1958,NA,NA,"Alumn","Modestly Connected",NA,NA,"","94257",0,484,0,0,699,40000,120000,0,190000,0,"Sacramento","CA",38.377411,-121.444429
"Eriacho, Mara",1952,20000,"Annual Fund Leadership","Alumn","Not Connected",NA,947076,"Math/Science Center","80000",1315,0,0,1776,498,90000,0,210000,20000,60000,"Aurora","CO",39.669637,-104.773083
"Puentes, Calvin",1999,2e+05,"Annual Fund Leadership","Alumn","Connected","Borenstein-Will, Alan",NA,"","30506",0,2358,1673,0,0,10000,0,0,0,60000,"Gainesville","GA",34.346102,-83.901
"Huselton, Kelsey",1963,610000,"Not a Prospect","Alumn","Very Connected","Ulibarri, Isaiah",297435,"Athletics","66439",18,2988,1273,650,879,0,30000,40000,0,0,"Horton","KS",39.659471,-95.53567
"el-Akhtar, Mastoora",1967,0,"Annual Fund Leadership","Alumn","Connected",NA,0,"Professorship","33174",0,0,943,584,0,0,110000,0,150000,10000,"Miami","FL",25.763044,-80.35919
"Wartman, Justin",1980,360000,"Not a Prospect","Alumn","Not Connected","el-Salehi, Ziyaad",NA,"","85054",0,0,2031,562,627,10000,0,10000,20000,0,"Phoenix","AZ",33.689558,-111.96463
"Kimble, Michael",1997,1280000,"Stewardship","Alumn","Connected",NA,NA,"","70059",64,1129,0,167,2136,80000,140000,0,150000,180000,"Harvey","LA",29.677893,-90.0901
"Washington, Antionette",2009,NA,NA,"Alumn","Modestly Connected",NA,NA,"","96062",1406,7,0,687,189,0,160000,0,60000,0,"Millville","CA",40.577799,-122.10148
"al-Beshara, Rajaa",1983,620000,"Cultivation","Alumn","Modestly Connected",NA,265894,"Athletics","23909",0,0,984,0,832,90000,30000,110000,140000,0,"Farmville","VA",37.301574,-78.394944
"Miles-Groce, Danielle",NA,1030000,"Annual Fund Leadership","Parent","Somewhat Connected","Stone, Derek",682277,"Financial Aid","84751",0,0,0,575,1317,30000,20000,0,0,120000,"Milford","UT",38.348238,-113.1063
"Alexander, Marquise",1992,NA,NA,"Alumn","Somewhat Connected",NA,346405,"Residence Hall","45887",395,630,1069,2009,1603,0,110000,10000,0,90000,"Spencerville","OH",40.711394,-84.35509
"Hardin, Ishan",2007,0,"Annual Fund Leadership","Alumn","Somewhat Connected","Center, Victoria",991722,"Professorship","02812",866,79,1593,548,275,50000,0,40000,90000,0,"Carolina","RI",41.46603,-71.66408
"Grammer, Ashley",1986,840000,"Assessment","Alumn","Very Connected",NA,NA,"","44706",928,483,1556,766,0,170000,250000,150000,0,1e+05,"Canton","OH",40.776858,-81.40593
"Simmons, Rachael",2002,0,"Annual Fund Leadership","Alumn","Connected",NA,NA,"","76150",1655,1523,0,0,0,0,0,130000,0,20000,"Fort Worth","TX",32.771419,-97.291484
"Donnell, Robert",NA,NA,NA,"Parent","Somewhat Connected",NA,NA,"","16691",0,1331,66,0,0,270000,30000,90000,0,0,"Wells Tannery","PA",40.080393,-78.15342
"Khum, Shannon",1966,0,"Cultivation","Alumn","Connected",NA,671414,"Professorship","92113",1416,0,146,71,1513,1e+05,30000,150000,140000,1e+05,"San Diego","CA",32.697402,-117.12001
"Fejeran, Phomy",1975,0,"Annual Fund Leadership","Alumn","Connected",NA,NA,"","58038",0,1228,330,1019,0,0,0,0,1e+05,0,"Grandin","ND",47.251489,-96.98522
"Bassett, Morgan",1981,NA,NA,"Alumn","Somewhat Connected",NA,NA,"","29664",1248,102,161,0,301,0,0,0,130000,0,"Mountain Rest","SC",34.855841,-83.16336
"Roberts, Keiley",2005,NA,NA,"Alumn","Somewhat Connected",NA,331475,"Financial Aid","02187",840,0,1512,833,1382,1e+05,70000,90000,0,50000,"Milton Village","MA",42.180048,-71.08923
"Squires, Trystan",NA,0,"Annual Fund Leadership","Parent","Connected",NA,NA,"","01921",0,1425,137,23,0,40000,10000,0,0,0,"Boxford","MA",42.677869,-71.00844
"Tyler, Myzaiah",1974,1690000,"Assessment","Alumn","Not Connected",NA,365479,"Residence Hall","72005",347,0,0,1165,0,70000,0,20000,0,0,"Amagon","AR",35.569503,-91.10435
"al-Kazmi, Jiyaad",1967,NA,NA,"Alumn","Somewhat Connected",NA,465023,"Financial Aid","60639",0,2177,770,304,63,30000,0,0,110000,60000,"Chicago","IL",41.921431,-87.75415
"Anderson, Michael",NA,0,"Annual Fund Leadership","Parent","Modestly Connected",NA,NA,"","65540",1402,0,1654,1549,1028,0,40000,0,0,0,"Lecoma","MO",37.767937,-91.75234
"Palacios, Erica",1970,970000,"Not a Prospect","Alumn","Connected","Ortega, Amanda",NA,"","55447",0,237,0,21,1696,0,0,20000,0,0,"Minneapolis","MN",45.003363,-93.49262
"el-Halim, Fikra",1976,0,"Annual Fund Leadership","Alumn","Not Connected","Vandeboogaard, Elise",208244,"Financial Aid","46543",1396,0,493,74,0,0,0,30000,0,80000,"Millersburg","IN",41.525634,-85.68403
"Fong, Jaxziah",2005,NA,NA,"Alumn","Connected",NA,NA,"","12115",316,1345,0,1313,0,160000,0,30000,0,230000,"Malden Bridge","NY",42.469991,-73.58587
"Metzger, Rorie",1957,NA,NA,"Alumn","Very Connected",NA,524565,"Athletics","67737",1918,736,88,911,250,1e+05,60000,30000,0,90000,"Grainfield","KS",39.117535,-100.47735
"Burton, Adesuwa",NA,1360000,"Not a Prospect","Parent","Connected",NA,825662,"Athletics","17501",1854,152,0,0,1793,130000,0,0,170000,0,"Akron","PA",40.156472,-76.204
"Villa, Tyler",2014,NA,NA,"Alumn","Connected",NA,768511,"Math/Science Center","59716",192,36,0,1829,0,70000,0,0,0,230000,"Big Sky","MT",45.268367,-111.32651
"Dunn, Aaron",1970,1570000,"Stewardship","Alumn","Modestly Connected","el-Salehi, Ziyaad",0,"Athletics","30152",1058,1522,0,888,0,220000,160000,30000,90000,0,"Kennesaw","GA",34.002147,-84.63392
"Gustafson, Cameron",1982,1300000,"Annual Fund Leadership","Alumn","Somewhat Connected","Rodriguez, Nathan",NA,"","25086",0,1539,2789,1490,1202,0,130000,90000,20000,10000,"Glasgow","WV",38.214254,-81.42028
"Trujillo, Omar",1959,0,"Annual Fund Leadership","Alumn","Modestly Connected",NA,334301,"Athletics","33567",1165,151,908,1442,0,80000,0,1e+05,20000,0,"Plant City","FL",27.982949,-82.14539
"Wells, Christopher",1952,NA,NA,"Alumn","Not Connected",NA,NA,"","60454",89,1533,0,596,0,0,30000,0,90000,0,"Oak Lawn","IL",41.811929,-87.68732
"Batsaihan, Kyle",1970,NA,NA,"Alumn","Very Connected",NA,NA,"","82073",0,0,0,0,1279,110000,30000,170000,1e+05,0,"Laramie","WY",41.307065,-105.624667
"Le, Jethary",2001,220000,"Annual Fund Leadership","Alumn","Very Connected","Stone, Derek",545297,"Athletics","95517",619,642,230,0,1060,0,0,40000,0,90000,"Diamond Springs","CA",38.692808,-120.818771
"Harris, Summer",1973,320000,"Stewardship","Alumn","Somewhat Connected",NA,145803,"Residence Hall","92822",1406,452,0,0,1203,0,0,90000,0,140000,"Brea","CA",33.640302,-117.769442
"Morton, Tabetha",1999,NA,NA,"Alumn","Very Connected",NA,NA,"","59841",2163,0,74,959,0,0,0,0,0,90000,"Pinesdale","MT",46.336533,-114.22296
"Mason, Brandon",1974,0,"Annual Fund Leadership","Alumn","Somewhat Connected","Wroblewski, Eric",NA,"","57030",0,0,1414,1835,528,0,170000,30000,0,0,"Garretson","SD",43.735778,-96.54332
"el-Moussa, Umar",1957,NA,NA,"Alumn","Connected",NA,NA,"","56502",0,2072,1822,0,1257,0,80000,0,0,140000,"Detroit Lakes","MN",46.933961,-95.678375
"Blackmond, Brittany",2000,260000,"Assessment","Alumn","Connected","el-Salehi, Ziyaad",NA,"","03901",0,2414,85,0,0,20000,0,0,0,40000,"Berwick","ME",43.29016,-70.84559
"Darity, Miles",1995,250000,"Cultivation","Alumn","Modestly Connected",NA,523032,"Financial Aid","55450",0,518,0,0,0,0,30000,0,110000,0,"Minneapolis","MN",44.882365,-93.20847
"Muniz, Jaquelin",1978,290000,"Stewardship","Alumn","Somewhat Connected","al-Abdou, Tharwa",NA,"","72421",0,0,835,734,1339,40000,0,160000,20000,150000,"Cash","AR",35.786094,-90.97073
"Anderson, Tristin",1952,2e+06,"Cultivation","Alumn","Connected",NA,1197659,"Residence Hall","35954",0,369,0,1279,1002,80000,40000,70000,110000,0,"Attalla","AL",34.043263,-86.08904
"Gutierrez, David",1997,810000,"Annual Fund Leadership","Alumn","Very Connected",NA,NA,"","30169",213,475,1565,0,0,1e+05,10000,140000,0,0,"Canton","GA",34.14,-84.3
"Novak, Randal",2005,1080000,"Assessment","Alumn","Very Connected","Ortega, Yesica",NA,"","20178",1225,477,1209,739,0,0,2e+05,0,40000,190000,"Leesburg","VA",39.072918,-77.608014
"Vazquez Quezada, Thomas",2006,90000,"Annual Fund Leadership","Alumn","Somewhat Connected",NA,NA,"","39096",0,0,0,1932,945,50000,60000,0,40000,0,"Lorman","MS",31.825143,-91.07877
"Tseng, Trevor",1975,240000,"Cultivation","Alumn","Very Connected",NA,NA,"","50271",0,0,0,103,0,50000,0,10000,280000,80000,"Williams","IA",42.486287,-93.54644
"al-Sabet, Shafee'a",1967,20000,"Annual Fund Leadership","Alumn","Somewhat Connected","el-Salehi, Ziyaad",0,"Athletics","02176",0,0,1235,0,0,50000,0,60000,0,40000,"Melrose","MA",42.459045,-71.06233
"Spaulding, Jonathan",1987,1640000,"Cultivation","Alumn","Somewhat Connected","Ulibarri, Isaiah",NA,"","79998",88,0,216,447,647,0,140000,110000,10000,50000,"El Paso","TX",31.694842,-106.299987
"Luong, Alexander",2002,NA,NA,"Alumn","Connected",NA,NA,"","19711",0,0,0,0,117,0,130000,260000,0,0,"Newark","DE",39.700561,-75.7431
"el-Kaber, Saleem",1992,0,"Not a Prospect","Alumn","Modestly Connected",NA,NA,"","32305",68,0,1068,2496,1576,0,0,0,30000,0,"Wakulla Springs","FL",30.130775,-84.406629
"Rosencrans, Joshua",1950,270000,"Annual Fund Leadership","Alumn","Somewhat Connected",NA,0,"Athletics","11223",0,0,404,0,0,130000,140000,30000,0,40000,"Brooklyn","NY",40.598142,-73.97229
"Anderson, Leah",1971,520000,"Not a Prospect","Alumn","Very Connected",NA,NA,"","70435",0,2283,443,2034,0,70000,110000,0,130000,0,"Covington","LA",30.53978,-90.07953
"Fischer, Emily",1988,0,"Not a Prospect","Alumn","Modestly Connected",NA,376852,"Athletics","22578",2089,1083,1110,0,588,0,0,20000,0,0,"White Stone","VA",37.64424,-76.36034
"Gallegos, Mark",2009,NA,NA,"Alumn","Very Connected",NA,NA,"","83454",902,0,696,0,2251,0,0,80000,1e+05,0,"Ucon","ID",43.593567,-111.957274
"Dixon, Isaiah",1953,0,"Not a Prospect","Alumn","Modestly Connected","Stone, Derek",NA,"","53787",0,1725,0,0,98,0,0,110000,10000,50000,"Madison","WI",43.06956,-89.423861
"Chu, Qing",1982,0,"Annual Fund Leadership","Alumn","Very Connected",NA,NA,"","13756",458,0,0,648,700,180000,90000,20000,0,70000,"East Branch","NY",42.018923,-75.11339
"Rivera, Lee",1987,410000,"Cultivation","Alumn","Somewhat Connected",NA,424190,"Professorship","10559",2199,0,93,199,0,0,50000,0,50000,1e+05,"Mount Vernon","NY",41.119008,-73.732996
"Malone, Achaya",2011,2280000,"Annual Fund Leadership","Alumn","Somewhat Connected",NA,NA,"","59018",330,1192,103,0,32,50000,80000,20000,0,0,"Clyde Park","MT",45.894359,-110.61105
"Montoya, Brian",1980,160000,"Cultivation","Alumn","Connected",NA,508853,"Athletics","75048",1355,1166,1132,3109,0,120000,70000,0,80000,110000,"Garland","TX",32.975723,-96.58661
"Tijerina, Fernando",1968,1580000,"Assessment","Alumn","Connected","al-Shafi, Badri",NA,"","40404",465,0,0,362,0,70000,0,0,40000,0,"Berea","KY",37.716443,-84.299699
"Mcknight, Joseph",1968,0,"Not a Prospect","Alumn","Connected",NA,NA,"","53542",1075,918,0,240,456,20000,60000,0,130000,20000,"Hanover","WI",42.632325,-89.15942
"Moreno Hernandez, Logan",1965,NA,NA,"Alumn","Somewhat Connected",NA,NA,"","92416",148,0,0,0,0,180000,20000,70000,0,80000,"San Bernardino","CA",34.839964,-115.967051
"Sant, Maureen",1966,1640000,"Assessment","Alumn","Not Connected",NA,NA,"","56369",0,0,364,0,0,0,40000,10000,2e+05,130000,"Rockville","MN",45.470635,-94.33862
"Moline, Robert",1953,0,"Annual Fund Leadership","Alumn","Connected",NA,NA,"","87196",0,0,0,0,0,40000,50000,0,1e+05,0,"Albuquerque","NM",35.044339,-106.672872
"Valerio, Jose",2010,450000,"Assessment","Alumn","Modestly Connected",NA,827668,"Financial Aid","84053",0,155,0,380,0,0,0,70000,80000,3e+05,"Neola","UT",40.440294,-110.02525
"Hinostroza, Jalissa",1968,0,"Assessment","Alumn","Somewhat Connected",NA,NA,"","06138",0,0,0,0,566,110000,0,20000,0,70000,"East Hartford","CT",41.791776,-72.718832
"al-Salah, Raaida",1956,1580000,"Not a Prospect","Alumn","Modestly Connected",NA,NA,"","43718",0,1145,103,1177,658,80000,80000,0,0,0,"Belmont","OH",40.028171,-81.00679
"Washington, Aleonya",1988,120000,"Cultivation","Alumn","Connected","Ortega, Amanda",826891,"Math/Science Center","87057",0,956,0,0,0,150000,0,160000,130000,140000,"Tajique","NM",34.650925,-105.880597
"Spore, Mikaela",2010,NA,NA,"Alumn","Modestly Connected",NA,NA,"","78160",1495,389,1122,0,0,130000,120000,190000,0,0,"Stockdale","TX",29.237074,-97.95439
"Yilmaz, Cory",2004,0,"Annual Fund Leadership","Alumn","Not Connected",NA,NA,"","75277",0,0,0,0,1370,70000,0,10000,0,0,"Dallas","TX",32.767268,-96.777626
"York, Cannon",1955,1e+06,"Cultivation","Alumn","Very Connected",NA,716542,"Math/Science Center","32803",0,0,319,0,0,0,140000,0,0,120000,"Orlando","FL",28.557579,-81.35244
"Coats, Thea",1979,NA,NA,"Alumn","Very Connected",NA,NA,"","31727",177,922,1067,323,1207,90000,0,40000,150000,20000,"Brookfield","GA",31.44172,-83.503715
"Olson, Harrison",2011,40000,"Annual Fund Leadership","Alumn","Modestly Connected",NA,NA,"","46247",1422,2665,1470,1255,230,0,0,0,0,40000,"Indianapolis","IN",39.779492,-86.132837
"el-Shabazz, Muthanna",1973,NA,NA,"Alumn","Modestly Connected",NA,NA,"","64622",0,0,1400,0,0,0,0,90000,60000,0,"Bogard","MO",39.48743,-93.5483
"Nimmons, Isaiah",1957,0,"Stewardship","Alumn","Not Connected",NA,448082,"Financial Aid","49312",0,1555,1006,0,390,150000,0,0,0,0,"Brohman","MI",43.693086,-85.81962
"Griffin, Christopher",1961,490000,"Cultivation","Alumn","Somewhat Connected",NA,0,"Professorship","29875",1287,127,0,0,0,170000,210000,0,0,0,"Murrells Inlet","SC",33.55016,-79.053838
"al-Haque, Razeena",1960,130000,"Assessment","Alumn","Modestly Connected","Ortega, Amanda",NA,"","38401",1083,2157,1259,0,139,0,80000,0,0,0,"Columbia","TN",35.619784,-87.03565
"Quinn, Brittany",2013,0,"Annual Fund Leadership","Alumn","Not Connected",NA,318939,"Financial Aid","98621",0,629,920,335,1412,0,1e+05,110000,130000,0,"Grays River","WA",46.348706,-123.58307
"Williams, Joshua",2015,1380000,"Assessment","Alumn","Somewhat Connected","Stone, Derek",NA,"","97311",929,0,0,0,1804,0,0,80000,170000,120000,"Salem","OR",44.943841,-123.028607
"Tran, Peter",2000,0,"Cultivation","Alumn","Connected",NA,960831,"Professorship","87038",0,1211,72,506,0,0,40000,180000,0,10000,"New Laguna","NM",35.05463,-107.44137
"Booher, Victoria",1956,30000,"Annual Fund Leadership","Alumn","Not Connected",NA,NA,"","37229",0,971,469,0,0,40000,0,60000,110000,0,"Nashville","TN",36.186605,-86.785248
"Noe, Joshua",1971,7e+05,"Solicitation","Alumn","Not Connected","Center, Victoria",NA,"","34210",1445,881,1141,527,0,0,30000,0,80000,0,"Bradenton","FL",27.455543,-82.63372
"Rzepiennik, Jacob",1983,NA,NA,"Alumn","Connected",NA,NA,"","54841",569,0,0,1066,0,0,210000,0,0,50000,"Haugen","WI",45.612444,-91.77624
"Cruz, Kenneth",1955,910000,"Stewardship","Alumn","Very Connected","el-Salehi, Ziyaad",48862,"Professorship","91977",0,868,137,0,32,0,0,0,110000,0,"Spring Valley","CA",32.721145,-116.99612
"Sedillo, Bryce",1988,340000,"Not a Prospect","Alumn","Modestly Connected",NA,NA,"","19523",1020,141,589,0,580,60000,50000,0,0,0,"Geigertown","PA",40.203142,-75.83588
"al-Abdelnour, Sulaimaan",NA,0,"Not a Prospect","Parent","Very Connected","el-Pirani, Sabriyya",NA,"","65632",0,1405,846,0,108,0,120000,110000,0,0,"Conway","MO",37.494752,-92.83345
"Barona, Gabriel",NA,590000,"Annual Fund Leadership","Parent","Connected",NA,0,"Athletics","88568",1650,0,0,0,0,2e+05,70000,0,0,0,"El Paso","TX",31.694842,-106.299987
"Storm, Dylan",1999,0,"Annual Fund Leadership","Alumn","Somewhat Connected",NA,566719,"Athletics","77222",597,1009,0,2106,1007,0,90000,40000,0,70000,"Houston","TX",29.83399,-95.434241
"Ordaz, Melissa",NA,2520000,"Cultivation","Parent","Somewhat Connected","Ortega, Yesica",NA,"","96756",62,0,2047,773,302,80000,60000,0,90000,30000,"Koloa","HI",21.910013,-159.48044
"Burris, Victoria",1992,0,"Stewardship","Alumn","Modestly Connected",NA,5056,"Math/Science Center","59542",975,634,0,0,0,80000,70000,330000,210000,30000,"Turner","MT",48.824171,-108.44428
"Barcelona, Kaitlyn",1963,0,"Annual Fund Leadership","Alumn","Somewhat Connected",NA,NA,"","85212",1986,0,0,0,0,60000,110000,30000,0,140000,"Mesa","AZ",33.35035,-111.64535
"Franklin, La Taeshia",NA,790000,"Assessment","Parent","Somewhat Connected","Borenstein-Will, Alan",198412,"Financial Aid","64802",1256,633,0,1621,0,0,30000,50000,0,170000,"Joplin","MO",37.206219,-94.335453
"Nguyen, Cody",NA,NA,NA,"Parent","Connected",NA,NA,"","38618",171,727,718,662,449,80000,0,80000,0,0,"Coldwater","MS",34.699588,-89.95004
"Martin, Lyberti",2010,NA,NA,"Alumn","Somewhat Connected",NA,317485,"Math/Science Center","90740",1259,114,0,923,0,20000,30000,0,40000,20000,"Seal Beach","CA",33.759283,-118.08239
"Snoke, Karen",1984,480000,"Not a Prospect","Alumn","Somewhat Connected","el-Salehi, Ziyaad",NA,"","40489",1305,0,0,0,1460,0,0,0,330000,0,"Waynesburg","KY",37.351221,-84.62099
"Taylor, Danicia",1974,0,"Not a Prospect","Alumn","Very Connected",NA,236205,"Financial Aid","51535",0,0,0,218,0,50000,150000,40000,10000,0,"Griswold","IA",41.232047,-95.13871
"Lin, Trang",1965,2e+05,"Not a Prospect","Alumn","Very Connected",NA,260673,"Residence Hall","03575",245,587,0,2622,0,50000,0,0,90000,40000,"Bretton Woods","NH",44.695648,-71.387387
"Lucero-Roller, Taylor",1976,0,"Not a Prospect","Alumn","Connected",NA,NA,"","17309",1384,0,0,0,0,0,0,10000,60000,50000,"Brogue","PA",39.871433,-76.44796
"Martinez, Lakota",1953,NA,NA,"Alumn","Very Connected",NA,0,"Athletics","14445",876,1541,93,1225,1023,150000,60000,0,130000,210000,"East Rochester","NY",43.111663,-77.48709
"Davis, Daryell",1996,1e+05,"Cultivation","Alumn","Very Connected",NA,NA,"","60430",431,0,1966,0,0,10000,0,120000,0,80000,"Homewood","IL",41.556734,-87.66464
"Lyons, Brooklyn",1969,0,"Annual Fund Leadership","Alumn","Modestly Connected",NA,NA,"","42134",0,2797,962,2502,0,60000,0,10000,0,80000,"Franklin","KY",36.718074,-86.58202
"Schultz, Scott",1957,1620000,"Not a Prospect","Alumn","Somewhat Connected",NA,NA,"","20535",0,0,135,99,995,0,140000,0,0,0,"Washington","DC",38.894097,-77.025133
"al-Shehadeh, Fawzaana",NA,360000,"Stewardship","Parent","Connected",NA,560655,"Athletics","39773",767,422,14,0,0,110000,40000,0,50000,20000,"West Point","MS",33.619058,-88.64686
"Lewis, Alexis",2006,0,"Not a Prospect","Alumn","Not Connected",NA,NA,"","33311",1113,0,526,0,531,0,0,0,0,150000,"Fort Lauderdale","FL",26.13883,-80.16865
"Lewis, Miles",NA,0,"Annual Fund Leadership","Parent","Somewhat Connected",NA,1724944,"Math/Science Center","82217",0,0,492,140,273,50000,10000,0,10000,0,"Hawk Springs","WY",41.76916,-104.24488
"Her, Von",2010,1050000,"Not a Prospect","Alumn","Not Connected",NA,NA,"","95408",0,871,0,0,0,70000,20000,60000,50000,0,"Santa Rosa","CA",38.463088,-122.989975
"Snow, Almiranda",NA,1490000,"Assessment","Parent","Not Connected",NA,677650,"Athletics","35023",0,120,1273,381,1008,30000,30000,0,30000,0,"Bessemer","AL",33.443039,-87.0193
"Harrity, Haley",1998,NA,NA,"Alumn","Modestly Connected",NA,NA,"","70373",0,170,1681,121,0,0,250000,60000,0,50000,"Larose","LA",29.535139,-90.44546
"Carlson, Tawfiq",1991,0,"Annual Fund Leadership","Alumn","Modestly Connected","Rodriguez, Nathan",NA,"","28092",0,1067,148,0,0,0,70000,30000,30000,160000,"Lincolnton","NC",35.473447,-81.24094
"al-Imam, Haazim",2016,1530000,"Cultivation","Alumn","Not Connected",NA,926870,"Financial Aid","15973",1570,1146,0,0,725,40000,80000,70000,60000,0,"Perry","PA",40.098721,-79.785885
"al-Khatib, Alawi",1951,NA,NA,"Alumn","Somewhat Connected",NA,NA,"","98823",842,271,522,0,0,50000,10000,0,0,90000,"Ephrata","WA",47.297368,-119.57129
"Box, Chelsea",1965,NA,NA,"Alumn","Somewhat Connected",NA,NA,"","17540",1284,2355,0,0,0,120000,0,20000,50000,160000,"Leola","PA",40.096346,-76.19007
"Reyna, Kimberly",1963,130000,"Not a Prospect","Alumn","Modestly Connected","Ortega, Amanda",NA,"","52040",0,688,681,729,912,160000,0,140000,0,0,"Dyersville","IA",42.490907,-91.12842
"al-Zahra, Maajid",1957,1030000,"Assessment","Alumn","Somewhat Connected","Ortega, Yesica",712159,"Athletics","20591",0,0,0,0,0,2e+05,0,130000,0,0,"Washington","DC",38.893311,-77.014647
"Kailasam, Sankeerth",2001,0,"Assessment","Alumn","Connected",NA,NA,"","92197",1209,0,0,396,20,20000,30000,0,0,0,"San Diego","CA",33.016928,-116.846046
"Austin, Bethel",1972,340000,"Cultivation","Alumn","Somewhat Connected",NA,NA,"","38827",1397,0,266,228,439,0,30000,140000,0,30000,"Belmont","MS",34.513163,-88.2092
"Nash, Emily",1962,NA,NA,"Alumn","Connected",NA,659619,"Athletics","78567",1332,535,0,1184,0,2e+05,180000,0,10000,80000,"Los Indios","TX",26.041669,-97.693736
"Jones, Jeanette",1967,950000,"Assessment","Alumn","Not Connected",NA,62921,"Math/Science Center","12027",0,289,767,0,0,0,10000,0,0,80000,"Burnt Hills","NY",42.912175,-73.90355
"Tran, Wallis",1977,NA,NA,"Alumn","Somewhat Connected",NA,NA,"","82224",0,836,0,322,519,10000,230000,130000,50000,30000,"Lost Springs","WY",42.792664,-104.94156
"Hernandez, Luis",1996,290000,"Solicitation","Alumn","Connected","Rodriguez, Nathan",1196210,"Residence Hall","26434",0,0,0,98,0,0,130000,40000,40000,90000,"Shirley","WV",39.450612,-80.870081
"Ransom, John",1952,NA,NA,"Alumn","Connected",NA,NA,"","60038",0,788,399,0,0,80000,120000,0,150000,0,"Palatine","IL",42.097976,-88.014072
"Doan, Cam",1991,690000,"Cultivation","Alumn","Very Connected","Ortega, Amanda",NA,"","55320",660,0,1452,1805,0,0,0,210000,0,0,"Clearwater","MN",45.387625,-94.0599
"Ellis, Keyanna",1959,NA,NA,"Alumn","Modestly Connected",NA,165557,"Math/Science Center","71750",0,0,83,403,903,0,10000,0,50000,50000,"Lawson","AR",33.198024,-92.52891
"Meeks, Treauna",1981,880000,"Annual Fund Leadership","Alumn","Somewhat Connected","Stone, Derek",NA,"","64777",0,391,1408,127,268,10000,90000,0,140000,50000,"Passaic","MO",38.251879,-94.331993
